path	days_since_commit	is_executable	has_shebang	shebang	size_kb	referenced
tools/bench_hdc.py	0	0	1	#!/usr/bin/env python3	25.1	1
tools/bench_pir.py	0	0	0		17.2	1
tools/clinical_eval_run.py	0	0	0		1.1	1
tools/codemods/fix_exceptions.py	0	1	1	#!/usr/bin/env python3	1.7	1
tools/comprehensive_cleanup.py	0	0	1	#!/usr/bin/env python3	29.4	1
tools/debug_genomevault.py	0	0	1	#!/usr/bin/env python3	7.6	1
tools/debug_summary.py	0	0	1	#!/usr/bin/env python3	2.8	0
tools/dependency_analysis.py	0	0	1	#!/usr/bin/env python3	3.8	0
tools/enhanced_cleanup.py	0	0	1	#!/usr/bin/env python3	51.9	1
tools/etl_run.py	0	0	0		0.9	1
tools/fix_audit_issues.py	0	0	1	#!/usr/bin/env python3	15.6	1
tools/fix_python_compatibility.py	0	0	1	#!/usr/bin/env python3	2.1	1
tools/fix_targeted_issues.py	0	0	1	#!/usr/bin/env python3	12.7	1
tools/focused_cleanup.py	0	0	1	#!/usr/bin/env python3	21.7	1
tools/gen_projection.py	0	0	1	#!/usr/bin/env python3	9.6	1
tools/generate_perf_report.py	0	0	1	#!/usr/bin/env python3	12.6	1
tools/genomevault_autofix.py	0	0	1	#!/usr/bin/env python3	19.8	1
tools/genomevault_cleanup.py	0	0	1	#!/usr/bin/env python3	17.2	1
tools/green_toolchain_impl.py	0	0	1	#!/usr/bin/env python3	14.3	1
tools/implement_checklist.py	0	0	1	#!/usr/bin/env python3	11.4	1
tools/pre_push_checklist.py	0	0	1	#!/usr/bin/env python3	7.1	1
tools/run_bench.py	0	0	1	#!/usr/bin/env python3	8.7	1
tools/run_hdc_linters.py	0	0	1	#!/usr/bin/env python3	3.8	1
tools/security_check.py	0	0	0		8.8	1
tools/simple_autofix_demo.py	0	0	1	#!/usr/bin/env python3	5.5	1
tools/trace_import_failure.py	0	0	1	#!/usr/bin/env python3	3.3	1
tools/validate_checklist.py	0	0	1	#!/usr/bin/env python3	13.1	1
tools/validate_hdc_implementation.py	0	0	0		15.4	1
tools/verify_fix.py	0	0	1	#!/usr/bin/env python3	3.0	1
upgrade_ruff.py	0	0	1	#!/usr/bin/env python3	4.1	1
validate_audit_fixes.py	0	0	1	#!/usr/bin/env python3	9.0	1
validate_implementation.py	0	0	1	#!/usr/bin/env python3	9.0	1
validate_lint_fixes.py	0	0	1	#!/usr/bin/env python3	5.5	1
validate_project_only.py	0	0	1	#!/usr/bin/env python3	16.2	1
verify_fixes.py	0	0	1	#!/usr/bin/env python3	3.1	1
verify_mvp.sh	0	1	1	#!/bin/bash	4.0	1
verify_phase3_ready.py	0	0	1	#!/usr/bin/env python3	5.2	1
verify_ruff.py	0	0	1	#!/usr/bin/env python3	2.2	1
